normalized_area,display_area,total_appearances,member_count,member_names
endoplasmic reticulum er stress,endoplasmic reticulum (er) stress,1,1,Alvin Joselin
implications on neurodegeneration,implications on neurodegeneration,1,1,Alvin Joselin
related dementias,related dementias,1,1,Amanda Tyndall
genetic disorders genomics neurodevelopmental disorders rare diseases,"genetic disorders, genomics, neurodevelopmental disorders, rare diseases",1,1,Amanda Tyndall
digital health technologies,digital health technologies,1,1,Amir Sanati Nezhad
tissue engineering approaches for disease modeling,tissue engineering approaches for disease modeling,1,1,Amir Sanati Nezhad
drug discovery,drug discovery,1,1,Amir Sanati Nezhad
recognitions during his research career,recognitions during his research career,1,1,Amir Sanati Nezhad
colton medal for research excellence,"colton medal for research excellence""",1,1,Amir Sanati Nezhad
book chapters flexible electronic devices for biomedical applications,book chapters flexible electronic devices for biomedical applications,1,1,Amir Sanati Nezhad
mental health needs of autistic girls,mental health needs of autistic girls,1,1,Ami Tint
neurodevelopmental conditions,neurodevelopmental conditions,1,1,Ami Tint
pre doctoral residency at holland bloorview kids rehabilitation hospital,pre-doctoral residency at holland bloorview kids rehabilitation hospital,1,1,Ami Tint
mental health camh,mental health (camh),1,1,Ami Tint
histopathologic characterization of disease,histopathologic characterization of disease,1,1,Amy Warren
interrogating the spatiotemporal heterogeneity in brain tumours,interrogating the spatiotemporal heterogeneity in brain tumours,1,1,Ana Nikolic
temporal epigenetic remodelling,temporal epigenetic remodelling,1,1,Ana Nikolic
functional factors in disease progression,functional factors in disease progression,1,1,Ana Nikolic
expertise in both wet lab brain tumour biology,expertise in both wet lab brain tumour biology,1,1,Ana Nikolic
takes a interdisciplinary approach to brain tumour biology,takes a interdisciplinary approach to brain tumour biology,1,1,Ana Nikolic
neurocognitive aging and plasticity,neurocognitive aging and plasticity,1,1,Andrea Protzner
but individual differences influence disease trajectories,but individual differences influence disease trajectories,1,1,Andrea Protzner
treatment outcomes,treatment outcomes,1,1,Andrea Protzner
clinical interest in neuro monitoring,clinical interest in neuro-monitoring,1,1,Andreas Kramer
serves on numerous canadian blood services advisory committees,serves on numerous canadian blood services advisory committees,1,1,Andreas Kramer
smooth muscle,smooth muscle,1,1,Andrew Braun
vascular imaging,vascular imaging,1,1,Andrew Demchuk
behavioural addictions,behavioural addictions,1,1,Andrew Kim
concurrent disorders,concurrent disorders),1,1,Andrew Kim
sports betting,sports betting,1,1,Andrew Kim
emotion dysregulation in four potentially addictive behaviors,emotion dysregulation in four potentially addictive behaviors,1,1,Andrew Kim
mental health i e concurrent disorders,"mental health (i. e., concurrent disorders)",1,1,Andrew Kim
investigating the demographics psychological characteristics and gambling related harms of in play sports bettors,"investigating the demographics, psychological characteristics, and gambling-related harms of in-play sports bettors",1,1,Andrew Kim
contextual correlates of in play sports betting,contextual correlates of in-play sports betting,1,1,Andrew Kim
t psychology of addictive behaviors,t. . psychology of addictive behaviors,1,1,Andrew Kim
gambling related harms of in play sports bettors vieira,gambling-related harms of in-play sports bettors . vieira,1,1,Andrew Kim
s journal of behavioral addictions,s.. journal of behavioral addictions,1,1,Andrew Kim
gambling related harms of in play sports bettors,gambling-related harms of in-play sports bettors,1,1,Andrew Kim
s international journal of mental health,s. . international journal of mental health,1,1,Andrew Kim
video gaming behaviors kim,video gaming behaviors . kim,1,1,Andrew Kim
video gaming behaviors,video gaming behaviors,1,1,Andrew Kim
behavioural addictions konkol thege,behavioural addictions . konkolÿ-thege,1,1,Andrew Kim
substance use and mental health disorders psychologists role in bridging the gap,substance use and mental health disorders: psychologists’ role in bridging the gap,1,1,Andrew Kim
ontarians wagering far more on legal online casino games than on sports betting,ontarians wagering far more on legal online casino games than on sports betting,1,1,Andrew Kim
are sports betting ads getting out of control in canada,are sports betting ads getting out of control in canada?,1,1,Andrew Kim
visually guided movements,visually guided movements,1,1,Angela Haffenden
impact of trauma on children,impact of trauma on children,1,1,Angelique Jenney
development of skill based clinical competencies,development of skill-based clinical competencies,1,1,Angelique Jenney
gender based violence,gender-based violence,1,1,Angelique Jenney
trauma across the lifespan,trauma across the lifespan,1,1,Angelique Jenney
simulation based learning,simulation-based learning,1,1,Angelique Jenney
simulation based experiential learning,simulation-based experiential learning,1,1,Angelique Jenney
trauma informed approaches to working with young people,trauma-informed approaches to working with young people,1,1,Angelique Jenney
youth care work in therapeutic campus based care settings,youth care work in therapeutic campus-based care settings,1,1,Angelique Jenney
child mental health gender based violence,"child mental health, gender-based violence",1,1,Angelique Jenney
trauma across the lifespan simulation based learning dr,"trauma across the lifespan, simulation-based learning dr",1,1,Angelique Jenney
child protection responses to gender based violence cases,child protection responses to gender-based violence cases,1,1,Angelique Jenney
simulation based experiential learning dr,simulation-based experiential learning dr,1,1,Angelique Jenney
trauma across the lifespan simulation based learning,"trauma across the lifespan, simulation-based learning",1,1,Angelique Jenney
research child mental health gender based violence,"research child mental health, gender-based violence",1,1,Angelique Jenney
collaborative development,collaborative development,1,1,Angelique Jenney
survivor experience to enhance services,survivor experience to enhance services,1,1,Angelique Jenney
youth care work,youth care work,1,1,Angelique Jenney
not soft trauma,not soft: trauma,1,1,Angelique Jenney
practice to address children s mental health r,practice to address children’s mental health.. r,1,1,Angelique Jenney
practice to address children s mental health,practice to address children’s mental health,1,1,Angelique Jenney
new wood s homes research chair in children s mental health builds bridges to front lines,new wood's homes research chair in children's mental health builds bridges to front lines,1,1,Angelique Jenney
health promotion anne flynn,health promotion anne flynn,1,1,Anne Patricia Flynn
alex senior s health centre,alex senior's health centre,1,1,Anne Patricia Flynn
movement program for senior citizens,movement program for senior citizens,1,1,Anne Patricia Flynn
health study group,health study group,1,1,Anne Patricia Flynn
substrates on a cell,substrates on a cell,1,1,Antoine Dufour
inactivation of immune responses in inflammatory diseases,inactivation of immune responses in inflammatory diseases,1,1,Antoine Dufour
hemopexin domain of matrix metalloproteinases in cell migration,hemopexin domain of matrix metalloproteinases in cell migration,1,1,Antoine Dufour
among the multitude of infiltrating immune cells,among the multitude of infiltrating immune cells,1,1,Antoine Dufour
resolution of inflammation during innate,resolution of inflammation during innate,1,1,Antoine Dufour
activated by various cell products,activated by various cell products,1,1,Antoine Dufour
physical health care,physical health care,1,1,Araba Chintoh
mitigating risk factors for poor mental health,mitigating risk factors for poor mental health,1,1,Araba Chintoh
neuropsychiatric sequelae,neuropsychiatric sequelae,1,1,Aravind Ganesh
more information associate member of hbi,more information associate member of hbi,1,1,Arvi Rauk
ashley harris develops magnetic resonance imaging,ashley harris develops magnetic resonance imaging,1,1,Ashley Harris
spectroscopy methods for clinical,spectroscopy methods for clinical,1,1,Ashley Harris
neurosciences research,neurosciences research,1,1,Ashley Harris
knowing how different family members beyond mothers e,knowing how different family members beyond mothers (e,1,1,Audrey-Ann Deneault
mental health my research seeks,mental health my research seeks,1,1,Audrey-Ann Deneault
obsessive compulsive disorder,obsessive compulsive disorder,1,1,Beverly Lynn Adams
clinicaltrials gov clinicaltrials gov identifier nct03889249,clinicaltrials. gov clinicaltrials. gov identifier: nct03889249,1,1,Bijoy Menon
clinicaltrials gov,clinicaltrials. gov,1,1,Bijoy Menon
thalamic stimulation in the cortex,thalamic stimulation in the cortex,1,1,Bin Hu
applications of instrumental learning,applications of instrumental learning,1,1,Bin Hu
cognitive decline in neurodegenerative diseases,cognitive decline in neurodegenerative diseases,1,1,Bin Hu
3 neurobiological circuits,3) neurobiological circuits,1,1,Bin Hu
system underlying music induced paradoxical movement in pd,system underlying music-induced paradoxical movement in pd,1,1,Bin Hu
journal of physiology,journal of physiology,1,1,Bin Hu
journal of neurophysiology,journal of neurophysiology,1,1,Bin Hu
j neurophysiol 100 327 335,j neurophysiol 100: 327-335,1,1,Bin Hu
molecular mr imaging of brain cancer,molecular mr imaging of brain cancer,1,1,Boguslaw Tomanek
innovative approaches in health research,innovative approaches in health research,1,1,Boguslaw Tomanek
permanent magnet for gradient free mri nserc discovery,permanent magnet for “gradient-free” mri (nserc discovery),1,1,Boguslaw Tomanek
compact magnet for mri nserc discovery,compact magnet for mri (nserc discovery),1,1,Boguslaw Tomanek
mental health particularly,mental health – particularly,1,1,Bonnie Kaplan
contribution of nutrition to mental health,contribution of nutrition to mental health,1,1,Bonnie Kaplan
rogers prize for excellence in integrative,rogers prize for excellence in integrative,1,1,Bonnie Kaplan
partly for her book the better brain,partly for her book the better brain,1,1,Bonnie Kaplan
treatment to the forefront of mental health care,treatment to the forefront of mental health care,1,1,Bonnie Kaplan
behaviour mental health maternal health nutrition,"behaviour, mental health, maternal health, nutrition",1,1,Bonnie Kaplan
better brain,better brain,1,1,Bonnie Kaplan
research behaviour,research behaviour,1,1,Bonnie Kaplan
as well as the interaction between the brain,as well as the interaction between the brain,1,1,Bradley Gordon Goodyear
peripheral inflammatory disease processes,peripheral inflammatory disease processes,1,1,Bradley Gordon Goodyear
imaging studies include,imaging studies include,1,1,Bradley Gordon Goodyear
predict patient outcomes,predict patient outcomes,1,1,Bradley Gordon Goodyear
contributes to improving the diagnosis of neurocognitive disorders,contributes to improving the diagnosis of neurocognitive disorders,1,1,Brandy Callahan
prognosticate after brain injury,prognosticate after brain injury,1,1,Brian Brooks
understand neurobiopsychosocial markers of the post concussion syndrome,understand neurobiopsychosocial markers of the post-concussion syndrome,1,1,Brian Brooks
evaluate long term outcomes from brain injury,evaluate long-term outcomes from brain injury,1,1,Brian Brooks
treatment of those already with post concussion syndrome,treatment of those already with post-concussion syndrome),1,1,Brian Brooks
and prognosticate after brain injury,and prognosticate after brain injury,1,1,Brian Brooks
adolescents with acquired brain injuries,adolescents with acquired brain injuries,1,1,Brian Brooks
neuropsychological outcomes of children,neuropsychological outcomes of children,1,1,Brian Brooks
focused on the neuropsychological outcomes of children,focused on the neuropsychological outcomes of children,1,1,Brian Brooks
sensorimotor integration,sensorimotor integration,1,1,Brian Herbert Bland
limbic cortex,limbic cortex,1,1,Brian Herbert Bland
posterior hypothalamus,posterior hypothalamus,1,1,Brian Herbert Bland
hippocampal formation,hippocampal formation,1,1,Brian Herbert Bland
mental health capacity in schools,mental health capacity in schools,1,1,Brittany Martin
socially empowered learning,socially empowered learning,1,1,Brittany Martin
new zealand a case of socially empowered learning,new zealand: a case of socially empowered learning,1,1,Brittany Martin
social enterprise,social enterprise,1,1,Brittany Martin
other socially empowered learning,other socially empowered learning,1,1,Brittany Martin
social enterprise in schools,social enterprise in schools,1,1,Brittany Martin
organizational outcomes,organizational outcomes,1,1,Brittany Martin
empowerment in post trauma contexts,empowerment in post-trauma contexts,1,1,Brittany Martin
c journal of applied developmental psychology 76,c. . journal of applied developmental psychology. 76,1,1,Brittany Martin
learning 11 2,learning. 11(2),1,1,Brittany Martin
journal of applied developmental psychology,journal of applied developmental psychology,1,1,Brittany Martin
journal of teaching and learning,journal of teaching and learning,1,1,Brittany Martin
journal articles art making promotes mental health a solution for schools,journal articles art-making promotes mental health: a solution for schools,1,1,Brittany Martin
art making promotes mental health a solution for schools,art-making promotes mental health: a solution for schools,1,1,Brittany Martin
teaching the arts as a second language a school wide policy approach to arts integration,teaching the arts as a second language: a school-wide policy approach to arts integration,1,1,Brittany Martin
brain smoothies in schools building mental health capacity,brain smoothies in schools: building mental health capacity,1,1,Brittany Martin
enabling artistic teachers effects of professional learning for artistry of instructional design,enabling artistic teachers: effects of professional learning for artistry of instructional design,1,1,Brittany Martin
how lung sensory neurons,how lung sensory neurons,1,1,Bryan Yipp
immune system interact,immune system interact,1,1,Bryan Yipp
brain body connections,brain body connections,1,1,Bryan Yipp
work spans clinical trial design,work spans clinical trial design,1,1,Camila Aquino
industry sponsored clinical trials,industry-sponsored clinical trials,1,1,Camila Aquino
interactions between perivascular stromal cells,interactions between perivascular stromal cells,1,1,Candice Poon
immune cells in glioma,immune cells in glioma,1,1,Candice Poon
brain metastases gbmet,brain metastases (gbmet),1,1,Candice Poon
ai assisted imaging,ai-assisted imaging,1,1,Candice Poon
work also extends to drug development,work also extends to drug development,1,1,Candice Poon
a particular interest in targeting the perivascular space,a particular interest in targeting the perivascular space,1,1,Candice Poon
key factor in cancer progression,key factor in cancer progression,1,1,Candice Poon
if you re passionate about translational brain cancer research,if you’re passionate about translational brain cancer research,1,1,Candice Poon
immunology under the supervision of dr,immunology under the supervision of dr,1,1,Candice Poon
canadian neurosurgical society k,canadian neurosurgical society k,1,1,Candice Poon
poon enjoys spending time with her family,poon enjoys spending time with her family,1,1,Candice Poon
its dysfunction has lacked attention,its dysfunction has lacked attention,1,1,Carlos Camara-Lemarroy
axonal injury,axonal injury,1,1,Carlos Camara-Lemarroy
immune modulating properties,immune modulating properties),1,1,Carlos Camara-Lemarroy
adolescents with neurodevelopmental disorders ndds,adolescents with neurodevelopmental disorders (ndds),1,1,Carly McMorris
eating disorders,eating disorders,1,1,Carly McMorris
developmental biopsychosocial cognitive behavioural,developmental biopsychosocial cognitive-behavioural,1,1,Carly McMorris
improving the health,improving the health,1,1,Carly McMorris
adolescents with neurodevelopmental disorders ndd,adolescents with neurodevelopmental disorders (ndd),1,1,Carly McMorris
community factors predict such outcomes,community factors predict such outcomes,1,1,Carly McMorris
theoretical orientations developmental biopsychosocial cognitive behavioural scholarly activity dr,theoretical orientations: developmental biopsychosocial cognitive-behavioural scholarly activity dr,1,1,Carly McMorris
lastly she aims to identify ways to prevent mental health issues from developing,"lastly, she aims to identify ways to prevent mental health issues from developing",1,1,Carly McMorris
research areas of research theoretical orientations developmental biopsychosocial cognitive behavioural scholarly activity dr,research areas of research theoretical orientations: developmental biopsychosocial cognitive-behavioural scholarly activity dr,1,1,Carly McMorris
